FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly,Pedro
curl\lib\vtls\openssl.c,3195,"static CURLcode get_cert_chain(struct connectdata * conn, struct ssl_connect_data * connssl)",11.827046,9.88587,1.5882353,0.3529412,184,107,211,17,27,6,6,9,,True
curl\lib\sendf.c,447,"ssize_t Curl_recv_plain(struct connectdata * conn, int num, char * buf, size_t len, CURLcode * code)",1.8030303,0.3030303,1.5,0,33,5,9,2,3,2,0,1,,False
curl\lib\asyn-ares.c,704,"CURLcode Curl_set_dns_servers(struct Curl_easy * data, char * servers)",5.159091,2.909091,1.5,0.75,33,24,38,4,6,2,3,2,,True
curl\lib\http2.c,2293,"CURLcode Curl_http2_stream_pause(struct Curl_easy * data, bool pause)",3.0789475,1.5789474,1,0.5,38,30,39,2,2,2,1,0,,True
curl\lib\vssh\libssh2.c,656,static CURLcode ssh_force_knownhost_key_type(struct connectdata * conn),10.497585,8.608696,1,0.8888889,115,110,146,9,9,5,8,0,,True
curl\lib\vtls\wolfssl.c,117,"static CURLcode wolfssl_connect_step1(struct connectdata * conn, int sockindex)",12.341684,10.868,1.2631578,0.21052632,250,143,183,19,24,10,4,6,,True
curl\lib\warnless.c,124,unsigned short curlx_ultous(unsigned long ulnum),2.1666665,1.1666666,1,0,12,7,7,2,2,1,0,0,,False
curl\tests\libtest\first.c,132,"int main(int argc, char * * argv)",3.8588238,2.0588236,1.2,0.6,34,14,23,5,6,5,3,1,,True
curl\lib\http.c,839,"CURLcode Curl_http_input_auth(struct connectdata * conn, bool proxy, const char * auth)",4.437705,3.237705,1,0.2,122,79,92,5,5,4,1,1,,True
curl\lib\ftp.c,544,"static CURLcode ftp_readresp(curl_socket_t sockfd, struct pingpong * pp, int * ftpcode, size_t * size)",1.972973,0.972973,1,0,37,18,18,2,2,1,0,0,,True
curl\lib\vtls\openssl.c,1182,"static CURLcode Curl_ossl_set_engine(struct Curl_easy * data, const char * engine)",5.828947,3.5789473,1.5,0.75,38,34,57,4,6,3,3,2,,True
curl\lib\warnless.c,388,unsigned short curlx_uitous(unsigned int uinum),2.1666665,1.1666666,1,0,12,7,7,2,2,1,0,0,,False
curl\lib\transfer.c,995,"static CURLcode readwrite_upload(struct Curl_easy * data, struct connectdata * conn, int * didwhat)",1.1515151,0.15151516,1,0,132,10,10,2,2,2,0,1,,False
curl\lib\ldap.c,233,"static int ldap_win_bind(struct connectdata * conn, LDAP * server, const char * user, const char * passwd)",1.25,0.25,1,0,20,5,5,1,1,1,0,0,,False
curl\tests\server\util.c,213,int wait_ms(int timeout_ms),8.164596,5.021739,2.2857144,0.85714287,46,33,138,7,16,4,6,9,,True
curl\lib\connect.c,1479,"CURLcode Curl_socket(struct connectdata * conn, const Curl_addrinfo * ai, struct Curl_sockaddr_ex * addr, curl_socket_t * sockfd)",2.1538463,0.15384616,2,0,39,6,12,1,2,2,0,0,,True
curl\tests\server\tftpd.c,668,"int main(int argc, char * * argv)",4.4728413,3.3959181,1.0769231,0,245,64,68,13,14,3,0,1,,False
curl\lib\vtls\openssl.c,1020,static int Curl_ossl_init(void),9.465278,7.6875,1.4444444,0.33333334,48,41,65,9,13,8,3,6,,True
curl\tests\server\rtspd.c,262,static void install_signal_handlers(void),6.705128,5.5384617,1.1666666,0,39,36,43,6,7,7,0,0,,True
curl\lib\vtls\sectransp.c,2959,"static int Curl_sectransp_shutdown(struct connectdata * conn, int sockindex)",1.1025641,0.102564104,1,0,39,4,4,1,1,1,0,1,,False
FFmpeg\libavutil\time.c,56,int64_t av_gettime_relative(void),3.4285715,1.4285715,1.5,0.5,14,10,23,2,3,3,1,0,,True
FFmpeg\libavcodec\mips\aaccoder_mips.c,2484,void ff_aac_coder_init_mips(AACEncContext * c),6.3055553,3.5555556,1.25,1.5,18,16,50,4,5,4,6,2,,True
FFmpeg\libavcodec\nvenc.c,133,"static void nvenc_print_driver_requirement(AVCodecContext * avctx, int level)",25.582771,14.27027,6.75,4.5625,37,33,460,16,108,4,73,40,,True
FFmpeg\libavcodec\x86\h264_qpel.c,540,"av_cold void ff_h264qpel_init_x86(H264QpelContext * c, int bit_depth)",3.4285715,1.9285715,1,0.5,84,81,87,2,2,2,1,0,,True
FFmpeg\libavcodec\hevcdsp_template.c,790,"static void FUNC(put_hevc_qpel_uni_hv)(uint8_t * _dst, ptrdiff_t _dststride, uint8_t * _src, ptrdiff_t _srcstride, int height, intptr_t mx, intptr_t my, int width)",1.7857143,0.2857143,1.5,0,35,5,9,2,3,2,0,1,,False
FFmpeg\libavcodec\mips\fft_mips.c,501,av_cold void ff_fft_init_mips(FFTContext * s),4.4666667,1.8000001,1.3333334,1.3333334,15,9,27,3,4,4,4,2,,True
FFmpeg\libavcodec\qsvenc.c,130,"static void dump_video_param(AVCodecContext * avctx, QSVEncContext * q, mfxExtBuffer * * coding_opts)",13.67509,12.322148,1,0.3529412,149,108,155,17,17,14,6,0,,True
FFmpeg\libavcodec\aacdec_template.c,1155,static av_cold int aac_decode_init(AVCodecContext * avctx),2.729114,1.329114,1.4,0,79,21,29,5,7,2,0,3,,False
FFmpeg\libswscale\ppc\swscale_vsx.c,2076,av_cold void ff_sws_init_swscale_vsx(SwsContext * c),6.919355,4.919355,1,1,186,183,355,5,5,3,5,3,,True
FFmpeg\libavformat\mux.c,1187,"int av_interleaved_write_frame(AVFormatContext * s, AVPacket * pkt)",2.0851064,0.08510638,2,0,47,4,8,1,2,2,0,0,,True
FFmpeg\libavdevice\iec61883.c,242,static int iec61883_read_header(AVFormatContext * context),1.0697675,0.069767445,1,0,129,9,9,1,1,1,0,0,,True
FFmpeg\libavutil\hwcontext_vulkan.c,858,"static int vulkan_device_derive(AVHWDeviceContext * ctx, AVHWDeviceContext * src_ctx, int flags)",3.8424242,2.509091,1,0.33333334,55,46,61,3,3,3,1,0,,True
FFmpeg\libavcodec\mips\celp_math_mips.c,87,void ff_celp_math_init_mips(CELPMContext * c),3.75,1.25,1.5,1,8,5,11,2,3,3,2,2,,True
FFmpeg\libpostproc\postprocess_template.c,1503,"static inline void RENAME(deInterlaceInterpolateCubic)(uint8_t src[], int stride)",7.666667,4.6666665,2.2,0.8,45,42,162,5,11,4,4,2,,True
FFmpeg\libswscale\x86\rgb2rgb_template.c,2494,static av_cold void RENAME(rgb2rgb_init)(void),10.142858,6.571429,2.142857,1.4285715,49,46,109,7,15,8,10,6,,True
FFmpeg\libavcodec\x86\vp8dsp_init.c,319,av_cold void ff_vp78dsp_init_x86(VP8DSPContext * c),4.4523807,2.7857141,1,0.6666667,42,39,49,3,3,2,2,0,,True
FFmpeg\libavfilter\vf_libopencv.c,144,"static int read_shape_from_file(int * cols, int * rows, int * * values, const char * filename, void * log_ctx)",1.21875,0.21875,1,0,64,14,14,1,1,1,0,0,,False
FFmpeg\libavcodec\x86\v210-init.c,30,av_cold void ff_v210_x86_init(V210DecContext * s),1.8636364,0.8636364,1,0,22,19,19,1,1,1,0,0,,True
FFmpeg\libavformat\http.c,1487,"static int http_read_stream(URLContext * h, uint8_t * buf, int size)",1.0930233,0.093023255,1,0,43,4,4,1,1,1,0,0,,False
FFmpeg\libavcodec\x86\mpegvideoenc.c,213,av_cold void ff_dct_encode_init_x86(MpegEncContext * s),6.505377,4.83871,1.3333334,0.33333334,31,25,39,6,8,5,2,0,,True
FFmpeg\libavcodec\x86\rv40dsp_init.c,215,av_cold void ff_rv40dsp_init_x86(RV34DSPContext * c),6.277419,4.677419,1,0.6,62,58,67,5,5,3,3,0,,True
FFmpeg\libavcodec\mips\acelp_filters_mips.c,213,void ff_acelp_filter_init_mips(ACELPFContext * c),3.8333335,1.3333334,1.5,1,9,6,14,2,3,3,2,2,,True
FFmpeg\libavcodec\dxva2_vp9.c,164,"static int commit_bitstream_and_slice_buffer(AVCodecContext * avctx, DECODER_BUFFER_DESC * bs, DECODER_BUFFER_DESC * sc)",4.868421,3.868421,1,0,76,49,49,6,6,2,0,0,,False
FFmpeg\libavutil\adler32.c,44,"unsigned long av_adler32_update(unsigned long adler, const uint8_t * buf, unsigned int len)",6.25,3,2.5,0.75,48,36,132,4,10,5,3,4,,True
FFmpeg\libavcodec\cbs_h265_syntax_template.c,1561,"static int FUNC(sei_buffering_period)(CodedBitstreamContext * ctx, RWContext * rw, H265RawSEIBufferingPeriod * current, uint32_t * payload_size)",1.878788,0.54545456,1.3333334,0,88,16,21,3,4,2,0,1,,False
FFmpeg\libavcodec\dvenc.c,361,"static av_always_inline int dv_set_class_number_sd(DVVideoContext * s, int16_t * blk, EncBlockInfo * bi, const uint8_t * zigzag_scan, const int * weight, int bias)",1.0491803,0.04918033,1,0,61,3,3,1,1,1,0,1,,False
FFmpeg\libavcodec\x86\mpegvideoencdsp_init.c,217,"av_cold void ff_mpegvideoencdsp_init_x86(MpegvideoEncDSPContext * c, AVCodecContext * avctx)",3.5507245,2.2173913,1,0.33333334,46,34,42,3,3,3,1,0,,True
FFmpeg\libavutil\frame.c,554,void av_frame_unref(AVFrame * frame),1.2272727,0.22727273,1,0,22,5,5,1,1,1,0,0,,False
FFmpeg\libswscale\x86\hscale_fast_bilinear_simd.c,191,"void ff_hyscale_fast_mmxext(SwsContext * c, int16_t * dst, int dstWidth, const uint8_t * src, int srcW, int xInc)",9.885844,8.219178,1.4,0.26666668,73,40,84,15,21,3,4,9,,True
FFmpeg\libavutil\mem.c,77,void * av_malloc(size_t size),8.147619,4.4333334,3,0.71428573,30,19,86,7,21,6,5,11,,True
FFmpeg\libavcodec\crystalhd.c,421,"static inline CopyRet copy_frame(AVCodecContext * avctx, BC_DTS_PROC_OUT * output, AVFrame * frame, int * got_frame)",1.05,0.05,1,0,100,5,5,1,1,1,0,0,,True
FFmpeg\libavcodec\ppc\fft_init.c,151,av_cold void ff_fft_init_ppc(FFTContext * s),5.770833,2.4375,2.3333333,1,16,13,61,3,7,5,3,1,,True
FFmpeg\libavfilter\x86\vf_noise.c,129,av_cold void ff_noise_init_x86(NoiseContext * n),3.1,1.6,1,0.5,15,12,15,2,2,2,1,0,,True
FFmpeg\libpostproc\postprocess_template.c,534,"static inline void RENAME(doVertDefFilter)(uint8_t src[], int stride, PPContext * c)",12.154212,8.93199,2.2222223,1,397,394,1380,9,20,4,9,6,,True
FFmpeg\libavfilter\x86\scene_sad_init.c,46,ff_scene_sad_fn ff_scene_sad_get_fn_x86(int depth),2.9666667,1.4666667,1,0.5,15,11,15,2,2,2,1,0,,True
FFmpeg\libavcodec\x86\vp9dsp_init.c,217,"av_cold void ff_vp9dsp_init_x86(VP9DSPContext * dsp, int bpp, int bitexact)",4.4615383,1.9615384,1.5,1,156,153,177,2,3,3,2,0,,True
FFmpeg\libavutil\file_open.c,110,"int avpriv_tempfile(const char * prefix, char * * filename, int log_offset, void * log_ctx)",6.7968254,4.5111113,1.5714285,0.71428573,45,29,69,7,11,7,5,8,,True
FFmpeg\libavcodec\flashsv2enc.c,590,"static int compare_sl(FlashSV2Context * s, Block * b, const uint8_t * src, uint8_t * frame, uint8_t * key, int y, int keyframe)",1.1764706,0.1764706,1,0,17,3,3,1,1,1,0,1,,False
FFmpeg\libavcodec\ac3enc_template.c,87,static void apply_mdct(AC3EncodeContext * s),2.357143,0.85714287,1.5,0,21,9,16,2,3,2,0,1,,True
FFmpeg\libavformat\tls_openssl.c,69,int ff_openssl_init(void),4.4022985,2.0689654,1.6666666,0.6666667,29,20,42,3,5,3,2,1,,True
FFmpeg\libavformat\udp.c,1057,static int udp_close(URLContext * h),4.888889,2.8888888,1.25,0.75,36,26,36,4,5,3,3,1,,True
FFmpeg\libpostproc\postprocess_template.c,2157,"static inline void RENAME(tempNoiseReducer)(uint8_t * src, int stride, uint8_t * tempBlurred, uint32_t * tempBlurredPast, const int * maxNoise)",158.64151,30.359457,65.15385,63.128204,1327,1033,398299,39,2541,92,2462,45,,True
FFmpeg\libavcodec\x86\dirac_dwt_init.c,161,"void ff_spatial_idwt_init_x86(DWTContext * d, enum dwt_type type)",3.4047618,1.9047619,1,0.5,63,60,86,2,2,2,1,1,,True
FFmpeg\libavformat\hls.c,603,"static int open_url_keepalive(AVFormatContext * s, AVIOContext * * pb, const char * url, AVDictionary * * options)",3.0294118,1.5294118,1.5,0,17,13,25,2,3,2,0,3,,False
FFmpeg\libswscale\ppc\swscale_altivec.c,238,av_cold void ff_sws_init_swscale_ppc(SwsContext * c),3.326087,1.826087,1,0.5,46,42,52,2,2,2,1,0,,True
FFmpeg\libavutil\mips\float_dsp_mips.c,346,void ff_float_dsp_init_mips(AVFloatDSPContext * fdsp),4.6363635,1.6363636,2,1,11,9,32,2,4,4,2,2,,True
FFmpeg\libavcodec\mips\acelp_vectors_mips.c,99,void ff_acelp_vectors_init_mips(ACELPVContext * c),3.75,1.25,1.5,1,8,5,11,2,3,3,2,2,,True
FFmpeg\libavfilter\x86\vf_removegrain_init.c,50,av_cold void ff_removegrain_init_x86(RemoveGrainContext * rg),3.3421054,1.8421053,1,0.5,38,35,51,2,2,2,1,0,,True
FFmpeg\libavcodec\x86\mpegaudiodsp.c,242,av_cold void ff_mpadsp_init_x86(MPADSPContext * s),5.1111116,3.1111112,1.2,0.8,45,28,59,5,6,6,4,0,,True
FFmpeg\libavdevice\xcbgrab.c,539,static int create_stream(AVFormatContext * s),1.1,0.1,1,0,60,6,6,1,1,1,0,0,,False
FFmpeg\libavcodec\mips\sbrdsp_mips.c,890,void ff_sbrdsp_init_mips(SBRDSPContext * s),5.5714283,2.5714285,1.3333334,1.6666666,21,18,56,3,4,4,5,2,,True
FFmpeg\libavcodec\mips\celp_filters_mips.c,285,void ff_celp_filter_init_mips(CELPFContext * c),3.8333335,1.3333334,1.5,1,9,6,14,2,3,3,2,2,,True
FFmpeg\libpostproc\postprocess_template.c,1871,"static inline void RENAME(deInterlaceMedian)(uint8_t src[], int stride)",6.108824,3.8588235,1.5,0.75,85,82,182,4,6,3,3,2,,True
FFmpeg\fftools\ffmpeg.c,433,static int read_key(void),4.659091,2.659091,1.6666666,0.33333334,44,39,108,3,5,4,1,1,,True
FFmpeg\libavutil\hwcontext_vulkan.c,2308,"static int vulkan_map_from(AVHWFramesContext * hwfc, AVFrame * dst, const AVFrame * src, int flags)",2.5526316,1.0526316,1,0.5,19,10,15,2,2,2,1,0,,True
FFmpeg\libavfilter\x86\vf_idet_init.c,69,"av_cold void ff_idet_init_x86(IDETContext * idet, int for_16b)",3.147059,1.6470588,1,0.5,17,14,22,2,2,2,1,0,,True
FFmpeg\libavcodec\mips\ac3dsp_mips.c,403,"void ff_ac3dsp_init_mips(AC3DSPContext * c, int bit_exact)",6.1346154,3.3846154,1.25,1.5,13,11,26,4,5,5,6,2,,True
FFmpeg\libpostproc\postprocess.c,558,"static inline void postProcess(const uint8_t src[], int srcStride, uint8_t dst[], int dstStride, int width, int height, const int8_t QPs[], int QPStride, int isColor, pp_mode * vm, pp_context * vc)",13.222222,6,3.7777777,3.4444444,33,22,135,9,34,9,31,12,,True
FFmpeg\libavcodec\x86\h264dsp_init.c,228,"av_cold void ff_h264dsp_init_x86(H264DSPContext * c, const int bit_depth, const int chroma_format_idc)",10.93111,8.82,1.1111112,1,200,196,247,9,10,5,9,0,,True
FFmpeg\libavcodec\x86\snowdsp.c,880,av_cold void ff_dwt_init_x86(SnowDWTContext * c),6.264286,4.464286,1,0.8,28,25,37,5,5,3,4,0,,True
FFmpeg\libavcodec\mips\iirfilter_mips.c,203,void ff_iir_filter_init_mips(FFIIRFilterContext * f),3.9285715,1.4285715,1.5,1,7,5,11,2,3,3,2,2,,True
FFmpeg\libavutil\hwcontext_vulkan.c,2140,"static int vulkan_map_to(AVHWFramesContext * hwfc, AVFrame * dst, const AVFrame * src, int flags)",2.5526316,1.0526316,1,0.5,19,10,15,2,2,2,1,0,,True
FFmpeg\libswscale\rgb2rgb_template.c,441,"static inline void yuvPlanartouyvy_c(const uint8_t * ysrc, const uint8_t * usrc, const uint8_t * vsrc, uint8_t * dst, int width, int height, int lumStride, int chromStride, int dstStride, int vertLumPerChroma)",4.771739,2.5217392,1.5,0.75,46,29,58,4,6,3,3,2,,True
FFmpeg\libavutil\hwcontext_vaapi.c,1626,"static int vaapi_device_derive(AVHWDeviceContext * ctx, AVHWDeviceContext * src_ctx, int flags)",5.1127453,2.7794118,1.3333334,1,68,63,100,3,4,3,3,1,,True
FFmpeg\libavcodec\ppc\h264qpel_template.c,104,"static void PREFIX_h264_qpel16_h_lowpass_altivec(uint8_t * dst, const uint8_t * src, int dstStride, int srcStride)",1.1212121,0.121212125,1,0,66,8,8,1,1,1,0,0,,True
FFmpeg\libavcodec\x86\vp9dsp_init_16bpp_template.c,142,"av_cold void INIT_FUNC(VP9DSPContext * dsp, int bitexact)",7.7666664,5.6,1.1666666,1,60,56,83,6,7,4,6,1,,True
FFmpeg\libavformat\file.c,170,static int file_delete(URLContext * h),4.216667,2.5500002,1.3333334,0.33333334,20,17,24,3,4,3,1,1,,True
FFmpeg\libavcodec\mips\mpegaudiodsp_mips_float.c,1252,void ff_mpadsp_init_mipsfpu(MPADSPContext * s),4.4,1.4,2,1,10,7,24,2,4,4,2,2,,True
FFmpeg\libswscale\x86\swscale.c,383,av_cold void ff_sws_init_swscale_x86(SwsContext * c),2.06993,1.0699301,1,0,143,51,51,3,3,3,0,0,,True
FFmpeg\libavformat\movenc.c,2239,"static int mov_write_tmcd_tag(AVIOContext * pb, MOVTrack * track)",2.3533335,1.02,1.3333334,0,50,17,22,3,4,2,0,2,,False
FFmpeg\libavfilter\vaapi_vpp.c,369,static void vaapi_vpp_fill_colour_range(VAAPIColourProperties * props),3.1666665,1.6666666,1.5,0,18,15,19,2,3,2,0,1,,False
FFmpeg\libavutil\x86\cpu.c,90,int ff_get_cpu_flags_x86(void),6.9663553,4.766355,1,1.2,107,102,154,5,5,5,6,0,,True
FFmpeg\libavcodec\mips\mpegaudiodsp_mips_fixed.c,910,void ff_mpadsp_init_mipsdsp(MPADSPContext * s),3.8333335,1.3333334,1.5,1,9,6,14,2,3,3,2,2,,True
FFmpeg\libavcodec\x86\hpeldsp_init.c,187,"static void hpeldsp_init_mmx(HpelDSPContext * c, int flags)",1.2352941,0.23529412,1,0,17,4,4,1,1,1,0,0,,False
FFmpeg\libavcodec\mips\aacpsdsp_mips.c,450,void ff_psdsp_init_mips(PSDSPContext * s),5.4,2.4,1.3333334,1.6666666,15,12,32,3,4,4,5,2,,True
FFmpeg\libavcodec\x86\vp8dsp_init.c,369,av_cold void ff_vp8dsp_init_x86(VP8DSPContext * c),4.549783,2.8831167,1,0.6666667,77,74,102,3,3,2,2,0,,True
FFmpeg\libavutil\hwcontext_vaapi.c,1471,"static int vaapi_device_create(AVHWDeviceContext * ctx, const char * device, AVDictionary * opts, int flags)",5.6007195,4.1007195,1.1666666,0.33333334,139,95,124,6,7,5,2,1,,True
FFmpeg\libavcodec\x86\flacdsp_init.c,53,"av_cold void ff_flacdsp_init_x86(FLACDSPContext * c, enum AVSampleFormat fmt, int channels, int bps)",4.4699454,2.8032787,1,0.6666667,61,57,111,3,3,3,2,0,,True
FFmpeg\libavutil\ppc\cpu.c,48,int ff_get_cpu_flags_ppc(void),17.76044,9.56044,3.8,4.4,91,87,686,10,38,9,44,13,,True
FFmpeg\libavcodec\aacdec_template.c,2775,"static void imdct_and_windowing_ld(AACContext * ac, SingleChannelElement * sce)",1.5833333,0.5833333,1,0,24,7,7,2,2,1,0,0,,False
FFmpeg\libpostproc\postprocess_template.c,1093,"static inline void RENAME(dering)(uint8_t src[], int stride, PPContext * c)",12.788477,9.888476,1.8,1.1,269,266,1036,10,18,5,11,4,,True
FFmpeg\libavcodec\x86\videodsp_init.c,279,"av_cold void ff_videodsp_init_x86(VideoDSPContext * ctx, int bpc)",5.35,3.6,1,0.75,30,27,45,4,4,3,3,0,,True
FFmpeg\libavcodec\mips\aacdec_mips.c,433,void ff_aacdec_init_mips(AACContext * c),2.9,1.4,1,0.5,10,7,10,2,2,2,1,0,,True
FFmpeg\libavcodec\x86\vp9dsp_init_16bpp.c,72,av_cold void ff_vp9dsp_init_16bpp_x86(VP9DSPContext * dsp),3.4142857,1.9142857,1,0.5,70,67,70,2,2,2,1,0,,True
FFmpeg\libavcodec\x86\synth_filter_init.c,54,av_cold void ff_synth_filter_init_x86(SynthFilterContext * s),3.2,1.7,1,0.5,20,17,22,2,2,2,1,0,,True
FFmpeg\libavutil\pixelutils.c,66,"av_pixelutils_sad_fn av_pixelutils_get_sad_fn(int w_bits, int h_bits, int aligned, void * log_ctx)",4.216667,2.5500002,1.3333334,0.33333334,20,17,34,3,4,3,1,3,,True
FFmpeg\libavcodec\x86\xvididct_init.c,55,"av_cold void ff_xvid_idct_init_x86(IDCTDSPContext * c, AVCodecContext * avctx, unsigned high_bit_depth)",3.2419355,1.7419355,1,0.5,31,27,41,2,2,2,1,0,,True
FFmpeg\libavcodec\startcode.c,31,"int ff_startcode_find_candidate_c(const uint8_t * buf, int size)",4.289855,1.9565217,1.3333334,1,23,15,36,3,4,3,3,1,,True
FFmpeg\libswscale\x86\yuv2rgb.c,81,av_cold SwsFunc ff_yuv2rgb_init_x86(SwsContext * c),6.51831,4.71831,1,0.8,71,67,79,5,5,2,4,0,,True
FFmpeg\libavcodec\x86\proresdsp_init.c,33,"av_cold void ff_proresdsp_init_x86(ProresDSPContext * dsp, AVCodecContext * avctx)",1.8125,0.8125,1,0,16,13,13,1,1,1,0,0,,False
FFmpeg\libavutil\time.c,71,int av_gettime_relative_is_monotonic(void),4.5833335,2.25,2,0.33333334,12,9,27,3,6,4,1,1,,True
FFmpeg\libavformat\network.c,46,void ff_tls_deinit(void),3.848485,2.1818182,1,0.6666667,11,8,14,3,3,3,2,0,,True
FFmpeg\libavformat\network.c,31,int ff_tls_init(void),3.8095238,2.142857,1,0.6666667,14,10,18,3,3,3,2,0,,True
FFmpeg\libavformat\file.c,137,"static int file_check(URLContext * h, int mask)",5.55,2.8,2,0.75,30,21,65,4,8,4,3,4,,True
FFmpeg\libswscale\rgb2rgb_template.c,377,"static inline void yuvPlanartoyuy2_c(const uint8_t * ysrc, const uint8_t * usrc, const uint8_t * vsrc, uint8_t * dst, int width, int height, int lumStride, int chromStride, int dstStride, int vertLumPerChroma)",4.771739,2.5217392,1.5,0.75,46,29,58,4,6,3,3,2,,True
FFmpeg\libavcodec\options.c,215,"int avcodec_copy_context(AVCodecContext * dest, const AVCodecContext * src)",1.0909091,0.09090909,1,0,55,5,5,1,1,1,0,0,,False
FFmpeg\libavcodec\ppc\mpegaudiodsp_altivec.c,133,av_cold void ff_mpadsp_init_ppc(MPADSPContext * s),1.625,0.625,1,0,8,5,5,1,1,1,0,0,,False
FFmpeg\libavcodec\mips\aacsbr_mips.c,611,void ff_aacsbr_func_ptr_init_mips(AACSBRContext * c),5.307692,2.3076923,1.3333334,1.6666666,13,10,24,3,4,4,5,2,,True
FFmpeg\fftools\ffplay.c,978,static void video_image_display(VideoState * is),1.9054054,0.4054054,1.5,0,74,15,29,2,3,2,0,1,,True
FFmpeg\libavcodec\mips\vp8dsp_mmi.c,2056,"void ff_put_vp8_epel8_v4_mmi(uint8_t * dst, ptrdiff_t dststride, uint8_t * src, ptrdiff_t srcstride, int h, int mx, int my)",1.2291666,0.22916667,1,0,48,11,11,1,1,1,0,1,,True
git\imap-send.c,1411,"static CURL * setup_curl(struct imap_server_conf * srvc, struct credential * cred)",1.8829787,0.38297874,1.5,0,47,9,17,2,3,2,0,1,,True
git\wrapper.c,35,"static void * do_xmalloc(size_t size, int gentle)",1.1304348,0.13043478,1,0,23,3,3,1,1,1,0,0,,False
git\http.c,1533,static void release_active_slot(struct active_request_slot * slot),1.2,0.2,1,0,15,3,3,1,1,1,0,0,,True
git\imap-send.c,276,"static int ssl_socket_connect(struct imap_socket * sock, int use_tls_only, int verify) #2",1.8172044,0.48387095,1.3333334,0,62,10,14,3,4,3,0,1,,False
git\sha1-file.c,1029,"int git_open_cloexec(const char * name, int flags)",3.4761906,0.47619048,3,0,21,10,30,1,3,3,0,0,,True
git\pager.c,154,int term_columns(void),1.35,0.35,1,0,20,7,7,1,1,1,0,0,,False
git\http-walker.c,347,"static void fetch_alternates(struct walker * walker, const char * base)",1.1351352,0.13513513,1,0,37,5,5,1,1,1,0,0,,False
git\http-push.c,632,static void add_fetch_request(struct object * obj),1.1818182,0.18181819,1,0,22,4,4,1,1,1,0,0,,True
git\setup.c,1309,int daemonize(void),3.2391305,1.7391304,1.5,0,23,20,38,2,3,2,0,1,,False
git\http-push.c,196,"static void curl_setup_http(CURL * curl, const char * url, const char * custom_req, struct buffer * buffer, curl_write_callback write_fn)",1.2222222,0.22222222,1,0,18,4,4,1,1,1,0,1,,True
git\daemon.c,676,static void lookup_hostname(struct hostinfo * hi),3.2333333,1.7333333,1.5,0,45,39,58,2,3,2,0,3,,False
git\grep.c,409,"static void compile_pcre1_regexp(struct grep_pat * p, const struct grep_opt * opt) #1",2.25,0.25,2,0,28,7,14,1,2,2,0,1,,True
git\compat\nedmalloc\nedmalloc.c,793,"void * nedpcalloc(nedpool * p, size_t no, size_t size) THROWSPEC",1.3333334,0.33333334,1,0,21,7,7,1,1,1,0,0,,True
git\compat\nedmalloc\nedmalloc.c,730,"static FORCEINLINE void GetThreadCache(nedpool * * p, threadcache * * tc, int * mymspace, size_t * size) THROWSPEC",1.2093023,0.20930232,1,0,43,9,9,1,1,1,0,0,,True
git\abspath.c,237,"char * prefix_filename(const char * pfx, const char * arg)",1.1875,0.1875,1,0,16,3,3,1,1,1,0,0,,False
git\compat\mingw.c,1729,"static int try_shell_exec(const char * cmd, char * const * argv)",1.0857143,0.08571429,1,0,35,3,3,1,1,1,0,1,,False
git\compat\nedmalloc\nedmalloc.c,473,"static void threadcache_free(nedpool * p, threadcache * tc, int mymspace, void * mem, size_t size) THROWSPEC",2.169231,1.1692308,1,0,65,19,19,4,4,2,0,0,,False
git\imap-send.c,1535,"int cmd_main(int argc, const char * * argv)",2.4848485,0.8181819,1.6666666,0,55,15,28,3,5,3,0,3,,False
git\builtin\gc.c,239,static uint64_t total_ram(void),8.059259,4.259259,3.2,0.6,27,23,126,5,16,6,3,4,,True
git\thread-utils.c,21,int online_cpus(void),12.9,7.4,2.75,2.75,40,37,257,8,22,10,22,6,,True
git\compat\strtoumax.c,3,"uintmax_t gitstrtoumax(const char * nptr, char * * endptr, int base)",2.75,1.25,1.5,0,8,5,9,2,3,2,0,1,,True
git\http.c,1237,void http_cleanup(void),1.244898,0.24489796,1,0,49,6,6,2,2,2,0,1,,False
git\ident.c,98,"static int canonical_name(const char * host, struct strbuf * out)",3.0652175,1.5652174,1.5,0,23,18,26,2,3,2,0,3,,False
git\grep.c,211,void grep_destroy(void),1.5,0.5,1,0,6,3,3,1,1,1,0,0,,False
git\compat\nedmalloc\nedmalloc.c,346,static NOINLINE threadcache * AllocCache(nedpool * p) THROWSPEC,1.1428572,0.14285715,1,0,28,4,4,1,1,1,0,0,,False
git\daemon.c,991,"static int setup_named_sock(char * listen_addr, int listen_port, struct socketlist * socklist) #1",1.1076924,0.10769231,1,0,65,7,7,1,1,1,0,0,,False
git\imap-send.c,374,"static int socket_write(struct imap_socket * sock, const char * buf, int len)",1.2941177,0.29411766,1,0,17,5,5,1,1,1,0,1,,False
git\daemon.c,897,"static void handle(int incoming, struct sockaddr * addr, socklen_t addrlen)",1.2368422,0.23684211,1,0,38,9,9,1,1,1,0,1,,False
